event_time,session_id,calibration_id,participant_id,tracker_time,system_time,x,y,left_x,left_y,left_pupil_diameter,left_validation,right_x,right_y,right_pupil_diameter,right_validation,user_left_x,user_left_y,user_left_z,user_right_x,user_right_y,user_right_z
132471644191377013,637382876152856942,,,1602690819137,1602690819137,301.0,173.0,301.0,173.0,0.0,1,301.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644191685961,637382876152856942,,,1602690819168,1602690819168,308.0,173.0,308.0,173.0,0.0,1,308.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644191996690,637382876152856942,,,1602690819199,1602690819199,311.0,173.0,311.0,173.0,0.0,1,311.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644192303938,637382876152856942,,,1602690819230,1602690819230,316.0,173.0,316.0,173.0,0.0,1,316.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644192618443,637382876152856942,,,1602690819261,1602690819261,319.0,173.0,319.0,173.0,0.0,1,319.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644192928857,637382876152856942,,,1602690819292,1602690819292,324.0,173.0,324.0,173.0,0.0,1,324.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644193239949,637382876152856942,,,1602690819323,1602690819323,334.0,174.0,334.0,174.0,0.0,1,334.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644193554192,637382876152856942,,,1602690819355,1602690819355,344.0,174.0,344.0,174.0,0.0,1,344.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644193866839,637382876152856942,,,1602690819386,1602690819386,350.0,174.0,350.0,174.0,0.0,1,350.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644194183405,637382876152856942,,,1602690819418,1602690819418,352.0,174.0,352.0,174.0,0.0,1,352.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644194489717,637382876152856942,,,1602690819448,1602690819448,355.0,174.0,355.0,174.0,0.0,1,355.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644194803898,637382876152856942,,,1602690819480,1602690819480,356.0,174.0,356.0,174.0,0.0,1,356.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644195116251,637382876152856942,,,1602690819511,1602690819511,357.0,174.0,357.0,174.0,0.0,1,357.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644195435786,637382876152856942,,,1602690819543,1602690819543,358.0,174.0,358.0,174.0,0.0,1,358.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644195755504,637382876152856942,,,1602690819575,1602690819575,358.0,174.0,358.0,174.0,0.0,1,358.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644196068446,637382876152856942,,,1602690819606,1602690819606,359.0,175.0,359.0,175.0,0.0,1,359.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644196375955,637382876152856942,,,1602690819637,1602690819637,360.0,175.0,360.0,175.0,0.0,1,360.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644196688591,637382876152856942,,,1602690819668,1602690819668,362.0,176.0,362.0,176.0,0.0,1,362.0,176.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644196997479,637382876152856942,,,1602690819699,1602690819699,369.0,177.0,369.0,177.0,0.0,1,369.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644197311777,637382876152856942,,,1602690819731,1602690819731,370.0,177.0,370.0,177.0,0.0,1,370.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644197626014,637382876152856942,,,1602690819762,1602690819762,371.0,177.0,371.0,177.0,0.0,1,371.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644197930016,637382876152856942,,,1602690819792,1602690819792,371.0,177.0,371.0,177.0,0.0,1,371.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644198244164,637382876152856942,,,1602690819824,1602690819824,372.0,177.0,372.0,177.0,0.0,1,372.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644198554282,637382876152856942,,,1602690819855,1602690819855,372.0,178.0,372.0,178.0,0.0,1,372.0,178.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644198876570,637382876152856942,,,1602690819887,1602690819887,373.0,178.0,373.0,178.0,0.0,1,373.0,178.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644199185417,637382876152856942,,,1602690819918,1602690819918,374.0,179.0,374.0,179.0,0.0,1,374.0,179.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644199493583,637382876152856942,,,1602690819949,1602690819949,376.0,180.0,376.0,180.0,0.0,1,376.0,180.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644199804129,637382876152856942,,,1602690819980,1602690819980,382.0,181.0,382.0,181.0,0.0,1,382.0,181.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644200119150,637382876152856942,,,1602690820011,1602690820011,395.0,181.0,395.0,181.0,0.0,1,395.0,181.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644200433344,637382876152856942,,,1602690820043,1602690820043,402.0,181.0,402.0,181.0,0.0,1,402.0,181.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644200752068,637382876152856942,,,1602690820075,1602690820075,402.0,181.0,402.0,181.0,0.0,1,402.0,181.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644201064311,637382876152856942,,,1602690820106,1602690820106,402.0,181.0,402.0,181.0,0.0,1,402.0,181.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
